experiment_id,timestamp,status,hidden_layers,learning_rate,dropout_rate,batch_size,activation,epochs,accuracy,f1,precision,recall,auc_roc,auc_pr,tn,fp,fn,tp,error
1,20251217_233513,success,"[256, 128, 64]",0.0003,0.5,16,tanh,100,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.637894092439547,0.8005343485305563,0,121,0,270,
2,20251217_233513,success,"[256, 128, 64]",0.005,0.1,128,relu,50,0.7877237851662404,0.8493647912885662,0.8327402135231317,0.8666666666666667,0.8648913376186104,0.9410886285596992,74,47,36,234,
3,20251217_233513,success,"[256, 64]",0.0003,0.5,32,tanh,75,0.7647058823529411,0.8368794326241135,0.8027210884353742,0.8740740740740741,0.8487909397000306,0.9333257583313858,63,58,34,236,
4,20251217_233513,success,"[512, 256]",0.001,0.4,16,elu,100,0.7953964194373402,0.8625429553264605,0.8044871794871795,0.9296296296296296,0.8598714416896235,0.9374382889165681,60,61,19,251,
5,20251217_233513,success,"[512, 256]",0.0003,0.4,64,relu,75,0.7851662404092071,0.8541666666666666,0.803921568627451,0.9111111111111111,0.8643403734312826,0.9382477976398015,61,60,24,246,
6,20251217_233513,success,"[64, 32]",0.003,0.4,32,elu,75,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.4225742271196817,0.6478954688068016,0,121,0,270,
7,20251217_233513,success,"[512, 256]",0.005,0.2,128,elu,100,0.7800511508951407,0.8517241379310345,0.7967741935483871,0.9148148148148149,0.8539332721150904,0.9347157654234634,58,63,23,247,
8,20251217_233513,success,"[256, 64]",0.0003,0.4,32,selu,100,0.80306905370844,0.8607594936708861,0.8409893992932862,0.8814814814814815,0.8610651974288338,0.9375718146312596,76,45,32,238,
9,20251217_233513,success,"[512, 256, 128]",0.005,0.3,128,relu,75,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.8497245179063361,0.9340186651836541,0,121,0,270,
10,20251217_233513,success,"[256, 64]",0.001,0.5,16,selu,50,0.7800511508951407,0.8566666666666667,0.7787878787878788,0.9518518518518518,0.8631772268135905,0.9376101911549307,48,73,13,257,
11,20251217_233513,success,"[128, 64, 32]",0.0003,0.2,128,relu,75,0.782608695652174,0.8551959114139693,0.7917981072555205,0.9296296296296296,0.8588307315580042,0.9372723670512335,55,66,19,251,
12,20251217_233513,success,"[512, 256, 128]",0.0005,0.1,64,tanh,50,0.7953964194373402,0.8581560283687943,0.8231292517006803,0.8962962962962963,0.869574533210897,0.9416875636460593,69,52,28,242,
13,20251217_233513,success,"[256, 128]",0.001,0.4,16,tanh,50,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.48666972757881855,0.717312852140123,0,121,0,270,
14,20251217_233513,success,"[512, 256]",0.001,0.3,64,elu,100,0.7928388746803069,0.8591304347826086,0.8098360655737705,0.9148148148148149,0.8676155494337312,0.9385669954448603,63,58,23,247,
15,20251217_233513,success,"[64, 32]",0.001,0.5,64,relu,100,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.8528007346189164,0.9316286807626136,0,121,0,270,
16,20251217_233513,success,"[512, 256]",0.003,0.1,16,selu,75,0.7851662404092071,0.8489208633093526,0.8251748251748252,0.8740740740740741,0.8531986531986531,0.9344738774972399,71,50,34,236,
17,20251217_233513,success,"[128, 64, 32]",0.005,0.3,16,relu,75,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.610651974288338,0.7987163988619559,0,121,0,270,
18,20251217_233513,success,"[512, 256, 128]",0.0005,0.2,32,selu,50,0.7774936061381074,0.8432432432432433,0.8210526315789474,0.8666666666666667,0.8482093663911845,0.932695588146634,70,51,36,234,
19,20251217_233513,success,"[256, 128]",0.0005,0.5,128,elu,100,0.7851662404092071,0.852112676056338,0.8120805369127517,0.8962962962962963,0.8584634220997857,0.9349618203141661,65,56,28,242,
20,20251217_233513,success,"[256, 128, 64]",0.0003,0.3,16,elu,100,0.7979539641943734,0.8606701940035273,0.8215488215488216,0.9037037037037037,0.8616467707376798,0.9375475684422263,68,53,26,244,
21,20251217_233513,success,"[256, 128]",0.0003,0.5,64,tanh,50,0.7544757033248082,0.8339100346020761,0.7824675324675324,0.8925925925925926,0.8314049586776859,0.9230332884277125,54,67,29,241,
22,20251217_233513,success,"[256, 128]",0.005,0.3,128,relu,50,0.7774936061381074,0.8361581920903954,0.8505747126436781,0.8222222222222222,0.8469696969696969,0.9236114558659692,82,39,48,222,
23,20251217_233513,success,"[128, 64, 32]",0.005,0.4,32,relu,50,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.6981022344658708,0.8426594120865614,0,121,0,270,
24,20251217_233513,success,"[512, 256]",0.0005,0.5,64,relu,75,0.7544757033248082,0.8361774744027304,0.7753164556962026,0.9074074074074074,0.8430670339761249,0.9288943899716635,50,71,25,245,
25,20251217_233513,success,"[512, 256]",0.0001,0.1,16,tanh,100,0.7595907928388747,0.8443708609271523,0.7634730538922155,0.9444444444444444,0.8603917967554331,0.939540103092279,42,79,15,255,
26,20251217_233513,success,"[128, 64, 32]",0.0003,0.1,32,tanh,50,0.7979539641943734,0.8528864059590316,0.8576779026217228,0.8481481481481481,0.863269054178145,0.9392736033579614,83,38,41,229,
27,20251217_233513,success,"[256, 128]",0.003,0.2,64,selu,75,0.7979539641943734,0.8591800356506238,0.8281786941580757,0.8925925925925926,0.8628711355984083,0.9374436044506732,71,50,29,241,
28,20251217_233513,success,"[512, 256, 128]",0.003,0.1,128,tanh,75,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.5,0.690537084398977,0,121,0,270,
29,20251217_233513,success,"[256, 64]",0.005,0.3,16,selu,100,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.5,0.690537084398977,0,121,0,270,
30,20251217_233513,success,"[128, 64]",0.0003,0.4,16,tanh,100,0.7800511508951407,0.8424908424908425,0.8333333333333334,0.8518518518518519,0.8544842363024181,0.9355234035563609,75,46,40,230,
31,20251217_233513,success,"[512, 256]",0.0003,0.4,16,relu,100,0.7928388746803069,0.8571428571428571,0.8181818181818182,0.9,0.8553412917049281,0.9349216187121175,67,54,27,243,
32,20251217_233513,success,"[256, 128, 64]",0.0005,0.3,128,selu,50,0.7723785166240409,0.8366972477064221,0.8290909090909091,0.8444444444444444,0.8587082950719315,0.9379758156311664,74,47,42,228,
33,20251217_233513,success,"[128, 64, 32]",0.0003,0.4,64,selu,75,0.7621483375959079,0.8399311531841652,0.7845659163987139,0.9037037037037037,0.8361493725130089,0.9254021255463605,54,67,26,244,
34,20251217_233513,success,"[256, 128, 64]",0.003,0.5,32,selu,100,0.710997442455243,0.8220472440944881,0.7150684931506849,0.9666666666666667,0.8052035506580961,0.9118898297359448,17,104,9,261,
35,20251217_233513,success,"[256, 128, 64]",0.003,0.1,128,elu,100,0.7851662404092071,0.8536585365853658,0.805921052631579,0.9074074074074074,0.8637281910009184,0.939707814653489,62,59,25,245,
36,20251217_233513,success,"[128, 64]",0.001,0.4,128,tanh,75,0.7698209718670077,0.847972972972973,0.7795031055900621,0.9296296296296296,0.853443526170799,0.9352843255582379,50,71,19,251,
37,20251217_233513,success,"[256, 128]",0.005,0.2,16,selu,50,0.7800511508951407,0.843065693430657,0.8309352517985612,0.8555555555555555,0.8466789103152739,0.9343063379695233,74,47,39,231,
38,20251217_233513,success,"[128, 64, 32]",0.001,0.5,16,tanh,75,0.690537084398977,0.8169440242057489,0.690537084398977,1.0,0.6139730639730638,0.7728782539478041,0,121,0,270,
39,20251217_233513,success,"[256, 64]",0.001,0.4,16,selu,50,0.7877237851662404,0.8561525129982669,0.8045602605863192,0.9148148148148149,0.8744413835322927,0.9442876740558945,61,60,23,247,
40,20251217_233513,success,"[256, 64]",0.0001,0.2,128,relu,100,0.7877237851662404,0.8509874326750448,0.8257839721254355,0.8777777777777778,0.8509029690847872,0.9321647422104133,71,50,33,237,
