experiment_id,auc_roc,accuracy,f1,precision,recall,auc_pr,tn,fp,fn,tp,learning_rate,dropout_rate,batch_size,activation,hidden_layers,epochs
24,0.874349556167738,0.7902813299232737,0.8525179856115108,0.8286713286713286,0.8777777777777778,0.9441504852509708,72,49,33,237,0.0005,0.3,32,tanh,"[512, 256]",100
32,0.8684726048362412,0.7928388746803069,0.8468809073724007,0.8648648648648649,0.8296296296296296,0.9416869090098906,86,35,46,224,0.001,0.5,32,selu,"[512, 256, 128]",100
8,0.8653504744413836,0.7851662404092071,0.8455882352941176,0.8394160583941606,0.8518518518518519,0.9407369691192848,77,44,40,230,0.003,0.1,64,selu,"[128, 64, 32]",75
37,0.8660544842363024,0.80306905370844,0.8555347091932458,0.8669201520912547,0.8444444444444444,0.9399120370937312,86,35,42,228,0.0005,0.4,32,elu,"[256, 128]",50
23,0.86455463728191,0.7800511508951407,0.852233676975945,0.7948717948717948,0.9185185185185184,0.9398786887178288,57,64,22,248,0.0005,0.3,16,elu,"[128, 64, 32]",100
27,0.8644628099173555,0.7953964194373402,0.8611111111111112,0.8104575163398693,0.9185185185185184,0.9396662044082432,63,58,22,248,0.0003,0.5,128,tanh,"[256, 128]",100
19,0.8653810835629017,0.7979539641943734,0.851782363977486,0.8631178707224335,0.8407407407407408,0.9396550538625326,85,36,43,227,0.0001,0.2,32,selu,"[512, 256]",75
36,0.8640955004591369,0.80306905370844,0.8632326820603907,0.8293515358361775,0.9,0.9396404043194831,71,50,27,243,0.0001,0.3,64,tanh,"[128, 64]",100
25,0.8591674318947046,0.7774936061381074,0.8409506398537477,0.8303249097472925,0.8518518518518519,0.9388177790879992,74,47,40,230,0.0001,0.5,32,tanh,"[256, 64]",100
35,0.8612182430364248,0.7979539641943734,0.8596802841918295,0.825938566552901,0.8962962962962963,0.9386720933803064,70,51,28,242,0.0001,0.4,16,tanh,"[128, 64]",50
